SortID,ID,Type,Latitude,Longitude,Public
469,P115HAU010,Cultivar,35.89,117.92,Yes
539,P115HAU080,Cultivar,35.89,117.92,Yes
547,P115HAU088,Cultivar,35.89,117.92,Yes
581,P115HAU122,Cultivar,35.89,117.92,Yes
582,P115HAU123,Cultivar,35.89,117.92,Yes
591,P115HAU132,Cultivar,35.89,117.92,Yes
642,P115HAU186,Cultivar,35.89,117.92,Yes
643,P115HAU187,Cultivar,35.89,117.92,Yes
644,P115HAU188,Cultivar,35.89,117.92,Yes
645,P115HAU189,Cultivar,35.89,117.92,Yes
646,P115HAU190,Cultivar,35.89,117.92,Yes
647,P115HAU191,Cultivar,35.89,117.92,Yes
648,P115HAU192,Cultivar,35.89,117.92,Yes
649,P115HAU193,Cultivar,35.89,117.92,Yes
650,P115HAU194,Cultivar,35.89,117.92,Yes
651,P115HAU195,Cultivar,35.89,117.92,Yes
661,P115HAU205,Cultivar,35.89,117.92,Yes
275,DIV_363,Cultivar,35.96,-83.92,No
304,DIV_382,Cultivar,35.96,-83.92,No
236,DIV_042,Cultivar,36.08,-94.17,No
284,DIV_037,Cultivar,36.08,-94.17,No
356,SA-1412,Cultivar,36.10,114.39,No
436,P113CRI12,Cultivar,36.10,114.39,Yes
440,P113Zh571,Cultivar,36.10,114.39,Yes
447,P113CRI35,Cultivar,36.10,114.39,Yes
416,SA-3781,Cultivar,36.78,-119.42,No
417,P111DP5690,Cultivar,37.09,-95.71,Yes
418,P111Maxxa,Cultivar,37.09,-95.71,Yes
419,P111Cok312,Cultivar,37.09,-95.71,Yes
420,P111FM832,Cultivar,37.09,-95.71,Yes
421,P111240RNR,Cultivar,37.09,-95.71,Yes
422,P111PD1,Cultivar,37.09,-95.71,Yes
423,P111SL542,Cultivar,37.09,-95.71,Yes
424,P111SG747,Cultivar,37.09,-95.71,Yes
425,P111ST474,Cultivar,37.09,-95.71,Yes
426,P111TamSph,Cultivar,37.09,-95.71,Yes
427,P111TM1,Cultivar,37.09,-95.71,Yes
430,P112Cok315,Cultivar,37.09,-95.71,Yes
431,P112DP90,Cultivar,37.09,-95.71,Yes
432,P112FM966,Cultivar,37.09,-95.71,Yes
433,P112PSC355,Cultivar,37.09,-95.71,Yes
434,P112ST825,Cultivar,37.09,-95.71,Yes
435,P112TP,Cultivar,37.09,-95.71,Yes
477,P115HU018,Cultivar,37.09,-95.71,Yes
